piece_index,canonical_composer,canonical_title,year,split,midi_filename,total_length_sec,segment_index,start_sec,end_sec,tempo_label,tempo_category_num
12,Alexander Scriabin,Fantasy Op. 28 in B Minor,2013,train,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.midi,512.2434895833333,1,0.0,512.2434895833333,fast,2
13,Alexander Scriabin,"Fantasy in B Minor, Op. 28",2011,train,2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.midi,477.79296875,1,0.0,477.79296875,fast,2
14,Alexander Scriabin,"Fantasy, Op. 28",2014,train,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.midi,486.8776041666666,1,0.0,486.8776041666666,fast,2
15,Alexander Scriabin,"Fragilite, Op.51",2009,validation,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.midi,142.83723958333331,1,0.0,142.83723958333331,fast,2
16,Alexander Scriabin,"Prelude and Nocturne for Left Hand, Op. 9",2008,train,2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.midi,471.1184895833333,1,0.0,471.1184895833333,slow,0
17,Alexander Scriabin,Sonata No. 2,2006,train,2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.midi,613.7955729166666,1,0.0,613.7955729166666,fast,2
18,Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19",2018,train,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.midi,703.75390625,1,0.0,703.75390625,medium,1
19,Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19",2018,train,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.midi,685.5520833333333,1,0.0,685.5520833333333,fast,2
20,Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19 (Complete)",2017,train,2017/MIDI-Unprocessed_079_PIANO079_MID--AUDIO-split_07-09-17_Piano-e_1-04_wav--4.midi,662.0447916666667,1,0.0,662.0447916666667,fast,2
21,Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",2018,train,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.midi,1120.8372395833333,1,0.0,1120.8372395833333,medium,1
22,Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",2018,train,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.midi,1195.2434895833333,1,0.0,1195.2434895833333,slow,0
23,Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",2018,train,2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.midi,1118.78515625,1,0.0,1118.78515625,medium,1
24,Alexander Scriabin,"Sonata No. 4 in F-sharp Major ,Op.30",2013,validation,2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.midi,440.2395833333333,1,0.0,440.2395833333333,fast,2
25,Alexander Scriabin,"Sonata No. 5 in F-sharp Minor, Op. 53",2004,train,2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi,661.046875,1,0.0,661.046875,fast,2
26,Alexander Scriabin,"Sonata No. 5, Op. 53",2018,train,2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--2.midi,701.4986979166666,1,0.0,701.4986979166666,medium,1
27,Alexander Scriabin,"Sonata No. 5, Op. 53",2009,train,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.midi,706.1966145833333,1,0.0,706.1966145833333,fast,2
28,Alexander Scriabin,"Sonata No. 5, Op. 53",2009,train,2009/MIDI-Unprocessed_19_R1_2009_03-04_ORIG_MID--AUDIO_19_R1_2009_19_R1_2009_04_WAV.midi,649.12109375,1,0.0,649.12109375,medium,1
29,Alexander Scriabin,"Sonata No. 5, Op. 53",2008,train,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.midi,602.40234375,1,0.0,602.40234375,fast,2
30,Alexander Scriabin,"Sonata No. 5, Op. 53",2014,train,2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--6.midi,708.59765625,1,0.0,708.59765625,medium,1
31,Alexander Scriabin,"Sonata No. 5, Op. 53",2014,train,2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_22_R1_2014_wav--4.midi,645.0598958333333,1,0.0,645.0598958333333,fast,2
32,Alexander Scriabin,Sonata No. 9,2006,test,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.midi,479.7265625,1,0.0,479.7265625,medium,1
33,Alexander Scriabin,Sonata No. 9,2006,test,2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.midi,430.1861979166666,1,0.0,430.1861979166666,fast,2
34,Alexander Scriabin,"Sonata No. 9, Op. 68",2009,test,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.midi,522.0950520833333,1,0.0,522.0950520833333,fast,2
35,Alexander Scriabin,"Sonata No. 9, Op. 68, ""Black Mass""",2018,test,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.midi,520.89453125,1,0.0,520.89453125,medium,1
36,Alexander Scriabin,"Two Impromptus, Op. 14 (Complete)",2014,validation,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.midi,365.6328125,1,0.0,365.6328125,slow,0
37,Alexander Scriabin,"Waltz, Op. 38",2014,validation,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.midi,319.9114583333333,1,0.0,319.9114583333333,medium,1
38,Antonio Soler,Sonata No. 10 in B Minor,2009,train,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_01_WAV.midi,232.72916666666663,1,0.0,232.72916666666663,fast,2
39,Carl Maria von Weber,"Sonata No. 1, 2nd, 3rd and 4th movements",2008,train,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.midi,939.3359375,1,0.0,939.3359375,fast,2
40,Charles Gounod / Franz Liszt,Faust Waltz,2006,train,2006/MIDI-Unprocessed_08_R1_2006_01-04_ORIG_MID--AUDIO_08_R1_2006_Disk1_01_Track01_wav.midi,558.5091145833333,1,0.0,558.5091145833333,fast,2
41,Claude Debussy,"""Feux d'artifice"" from Book II",2008,train,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.midi,243.40104166666663,1,0.0,243.40104166666663,fast,2
42,Claude Debussy,"""Images"", Series I",2013,train,2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.midi,918.3541666666666,1,0.0,918.3541666666666,slow,0
43,Claude Debussy,"""Les collines d'Anacapri"" from Preludes, Book I",2008,train,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.midi,170.26171875,1,0.0,170.26171875,fast,2
44,Claude Debussy,"""Ondine"" from Book II",2008,train,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.midi,195.2109375,1,0.0,195.2109375,slow,0
45,Claude Debussy,"""Voiles"" from Preludes, Book I",2008,train,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.midi,213.28515625,1,0.0,213.28515625,slow,0
46,Claude Debussy,"Barcarolle, Op. 60",2015,train,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--3.midi,486.4770833333333,1,0.0,486.4770833333333,medium,1
47,Claude Debussy,Bruyeres,2006,train,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_03_Track03_wav.midi,985.7174479166666,1,0.0,985.7174479166666,fast,2
48,Claude Debussy,Estampes (Complete),2014,test,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4.midi,852.8020833333333,1,0.0,852.8020833333333,medium,1
49,Claude Debussy,"Etude ""Pour le arpeges composes""",2009,train,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_02_WAV.midi,279.1640625,1,0.0,279.1640625,fast,2
50,Claude Debussy,"Etude ""Pour les accords""",2009,test,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_04_WAV.midi,270.67838541666663,1,0.0,270.67838541666663,slow,0
51,Claude Debussy,"Etude ""Pour les huit doigts""",2009,train,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_03_WAV.midi,91.0,1,0.0,91.0,fast,2
52,Claude Debussy,"Etude No. 6, Book I, ""Pour les huits doigts""",2008,train,2008/MIDI-Unprocessed_11_R2_2008_01-05_ORIG_MID--AUDIO_11_R2_2008_wav--2.midi,83.37109375,1,0.0,83.37109375,fast,2
53,Claude Debussy,"Etude No. 7 ""Study in Chromatic Steps""",2004,test,2004/MIDI-Unprocessed_SMF_17_R1_2004_03-06_ORIG_MID--AUDIO_20_R2_2004_12_Track12_wav--1.midi,134.44895833333334,1,0.0,134.44895833333334,fast,2
54,Claude Debussy,Feux d'artifice,2006,train,2006/MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_02_Track02_wav.midi,244.30078125,1,0.0,244.30078125,fast,2
55,Claude Debussy,Four Preludes,2006,train,2006/MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_03_Track03_wav.midi,673.8697916666666,1,0.0,673.8697916666666,fast,2
56,Claude Debussy,Image (Book II),2004,train,2004/MIDI-Unprocessed_XP_08_R1_2004_03_ORIG_MID--AUDIO_08_R1_2004_03_Track03_wav.midi,707.3145833333333,1,0.0,707.3145833333333,slow,0
57,Claude Debussy,"Images Book 1 (Complete), L 110",2014,train,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--4.midi,903.6341145833331,1,0.0,903.6341145833331,slow,0
58,Claude Debussy,Images Book II,2006,train,2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_02_Track02_wav.midi,684.9140625,1,0.0,684.9140625,fast,2
59,Claude Debussy,"Images, Book I",2009,train,2009/MIDI-Unprocessed_15_R1_2009_03-06_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_03_WAV.midi,925.3125,1,0.0,925.3125,slow,0
60,Claude Debussy,"Images, Book I, ""Reflets dans l'eau""",2008,train,2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--4.midi,286.9661458333333,1,0.0,60.0,slow,0
60,Claude Debussy,"Images, Book I, ""Reflets dans l'eau""",2008,train,2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--4.midi,286.9661458333333,2,60.0,180.0,fast,2
60,Claude Debussy,"Images, Book I, ""Reflets dans l'eau""",2008,train,2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--4.midi,286.9661458333333,3,180.0,286.9661458333333,slow,0
61,Claude Debussy,"Images, Book II",2018,train,2018/MIDI-Unprocessed_Recital20_MID--AUDIO_20_R1_2018_wav--3.midi,848.265625,1,0.0,848.265625,slow,0
62,Claude Debussy,"Images, Book II, ""Poissons d'or""",2008,train,2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--5.midi,223.88932291666663,1,0.0,223.88932291666663,fast,2
63,Claude Debussy,Jardins sous la pluie from Estampes,2011,test,2011/MIDI-Unprocessed_04_R3_2011_MID--AUDIO_R3-D2_05_Track05_wav.midi,208.88671875,1,0.0,208.88671875,fast,2
64,Claude Debussy,L'Isle Joyeuse,2011,train,2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_10_Track10_wav.midi,329.68229166666663,1,0.0,329.68229166666663,fast,2
65,Claude Debussy,L'isle joyeuse,2014,train,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--6.midi,364.3072916666666,1,0.0,364.3072916666666,fast,2
66,Claude Debussy,L'isle joyeuse,2013,train,2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_15_R1_2013_wav--4.midi,299.59244791666663,1,0.0,299.59244791666663,fast,2
67,Claude Debussy,L'isle joyeuse,2013,train,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--3.midi,350.75,1,0.0,350.75,fast,2
68,Claude Debussy,L'isle joyeuse,2017,train,2017/MIDI-Unprocessed_071_PIANO071_MID--AUDIO-split_07-08-17_Piano-e_1-04_wav--4.midi,346.06041666666664,1,0.0,346.06041666666664,fast,2
69,Claude Debussy,"L'isle joyeuse, L. 106",2018,train,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--4.midi,349.6875,1,0.0,349.6875,fast,2
70,Claude Debussy,Les Collines d'Anacapri from Book I,2008,train,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--2.midi,182.1614583333333,1,0.0,182.1614583333333,medium,1
71,Claude Debussy,Pagodas from Estampes No. 1,2008,test,2008/MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--3.midi,351.37760416666663,1,0.0,351.37760416666663,medium,1
72,Claude Debussy,Pour le piano (Complete),2015,test,2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3.midi,739.9625,1,0.0,739.9625,slow,0
73,Claude Debussy,"Prelude No. 24 ""Fireworks""",2008,train,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--1.midi,318.5481770833333,1,0.0,318.5481770833333,medium,1
74,Claude Debussy,"Prelude No. 6, Book I, ""Des pas sur la neige""",2018,test,2018/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--3.midi,251.6575520833333,1,0.0,251.6575520833333,slow,0
75,Claude Debussy,"Prelude No. 7, Book II, La terrasse des audiences du clair de lune",2018,train,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--3.midi,297.4921875,1,0.0,297.4921875,slow,0
76,Claude Debussy,"Preludes Book II: “Feux d'artifice,” L 123, No. 12",2014,train,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--5.midi,258.1458333333333,1,0.0,258.1458333333333,fast,2
77,Claude Debussy,"Preludes No. 2, 6, 12",2004,train,2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.midi,338.26875,1,0.0,338.26875,slow,0
78,Claude Debussy,"Preludes No. 2, 6, 12",2004,train,2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_09_Track09_wav.midi,259.98854166666666,1,0.0,259.98854166666666,fast,2
79,Claude Debussy,"Preludes, Book II, III - La puerta del vino",2013,train,2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--2.midi,179.29427083333331,1,0.0,179.29427083333331,slow,0
80,Claude Debussy,"Preludes, Book II, L 123 (Complete)",2014,train,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_08_R1_2014_wav--2.midi,2463.481770833333,1,0.0,2463.481770833333,slow,0
81,Claude Debussy,"Preludes, Book II, L 123, IV. «Les fées sont d'exquises danseuses»",2015,train,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--4.midi,173.303125,1,0.0,173.303125,fast,2
82,Claude Debussy,"Preludes, Book II, VII - La terasse des audiences du clair de lune",2013,train,2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--3.midi,240.3046875,1,0.0,240.3046875,slow,0
83,Claude Debussy,PreludesBII/7-12,2006,train,2006/MIDI-Unprocessed_04_R1_2006_01-04_ORIG_MID--AUDIO_04_R1_2006_02_Track02_wav.midi,1187.4765625,1,0.0,300.0,slow,0
83,Claude Debussy,PreludesBII/7-12,2006,train,2006/MIDI-Unprocessed_04_R1_2006_01-04_ORIG_MID--AUDIO_04_R1_2006_02_Track02_wav.midi,1187.4765625,2,300.0,420.0,fast,2
83,Claude Debussy,PreludesBII/7-12,2006,train,2006/MIDI-Unprocessed_04_R1_2006_01-04_ORIG_MID--AUDIO_04_R1_2006_02_Track02_wav.midi,1187.4765625,3,420.0,1187.4765625,fast,2
84,Claude Debussy,SuiteBergamasque,2006,test,2006/MIDI-Unprocessed_03_R1_2006_01-05_ORIG_MID--AUDIO_03_R1_2006_04_Track04_wav.midi,942.9140625,1,0.0,942.9140625,medium,1
85,Claude Debussy,Three Etudes,2006,train,2006/MIDI-Unprocessed_05_R1_2006_01-05_ORIG_MID--AUDIO_05_R1_2006_02_Track02_wav.midi,734.3033854166666,1,0.0,734.3033854166666,medium,1
86,César Franck,Prel./Chor./Fug.,2006,validation,2006/MIDI-Unprocessed_22_R1_2006_01-04_ORIG_MID--AUDIO_22_R1_2006_02_Track02_wav.midi,1188.4296875,1,0.0,1188.4296875,medium,1
87,César Franck,"Prelude, Choral et Fugue",2018,validation,2018/MIDI-Unprocessed_Recital8_MID--AUDIO_08_R1_2018_wav--2.midi,1054.6119791666663,1,0.0,1054.6119791666663,fast,2
88,César Franck,"Prelude, Choral et Fugue",2018,validation,2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--5.midi,1022.1236979166666,1,0.0,1022.1236979166666,fast,2
89,César Franck,"Prelude, Fugue et Variation, Op. 18, Arrangement Delle Vigne",2018,train,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--2.midi,633.8645833333333,1,0.0,420.0,slow,0
89,César Franck,"Prelude, Fugue et Variation, Op. 18, Arrangement Delle Vigne",2018,train,2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--2.midi,633.8645833333333,2,420.0,633.8645833333333,fast,2
90,César Franck,"Prélude, chorale, et fugue, M. 21",2014,train,2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--3.midi,708.5390625,1,0.0,480.0,slow,0
90,César Franck,"Prélude, chorale, et fugue, M. 21",2014,train,2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--3.midi,708.5390625,2,480.0,660.0,fast,2
90,César Franck,"Prélude, chorale, et fugue, M. 21",2014,train,2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--3.midi,708.5390625,3,660.0,708.5390625,slow,0
91,Domenico Scarlatti,Sonata K. 466,2008,train,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--3.midi,121.19140625,1,0.0,121.19140625,fast,2
92,Domenico Scarlatti,Sonata K. 525,2008,test,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--2.midi,66.21875,1,0.0,66.21875,fast,2
93,Domenico Scarlatti,Sonata K. 54,2008,test,2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--1.midi,208.2200520833333,1,0.0,208.2200520833333,medium,1
94,Domenico Scarlatti,"Sonata in A Major, K. 208",2014,test,2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_01_R1_2014_wav--2.midi,148.91927083333331,1,0.0,148.91927083333331,slow,0
95,Domenico Scarlatti,"Sonata in B Minor, K. 197",2009,train,2009/MIDI-Unprocessed_14_R1_2009_01-05_ORIG_MID--AUDIO_14_R1_2009_14_R1_2009_04_WAV.midi,298.0325520833333,1,0.0,298.0325520833333,medium,1
96,Domenico Scarlatti,"Sonata in B Minor, K. 27",2009,train,2009/MIDI-Unprocessed_01_R1_2009_01-04_ORIG_MID--AUDIO_01_R1_2009_01_R1_2009_01_WAV.midi,95.87109375,1,0.0,95.87109375,fast,2
97,Domenico Scarlatti,"Sonata in B Minor, K. 87",2018,train,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--3.midi,294.07682291666663,1,0.0,294.07682291666663,slow,0
98,Domenico Scarlatti,"Sonata in B Minor, K. 87",2014,train,2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_13_R1_2014_wav--1.midi,320.2109375,1,0.0,320.2109375,slow,0
99,Domenico Scarlatti,"Sonata in B Minor, L. 33",2009,train,2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_02_WAV.midi,167.3203125,1,0.0,167.3203125,slow,0
100,Domenico Scarlatti,"Sonata in C Major, K. 132",2014,test,2014/MIDI-UNPROCESSED_19-21_R3_2014_MID--AUDIO_21_R3_2014_wav--1.midi,243.03125,1,0.0,243.03125,fast,2
101,Domenico Scarlatti,"Sonata in C Major, K. 179",2009,train,2009/MIDI-Unprocessed_14_R1_2009_01-05_ORIG_MID--AUDIO_14_R1_2009_14_R1_2009_03_WAV.midi,132.73307291666666,1,0.0,132.73307291666666,fast,2
102,Domenico Scarlatti,"Sonata in C Major, K. 513",2014,train,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--2.midi,174.25,1,0.0,120.0,slow,0
102,Domenico Scarlatti,"Sonata in C Major, K. 513",2014,train,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--2.midi,174.25,2,120.0,174.25,fast,2
103,Domenico Scarlatti,"Sonata in C Minor, K. 84",2014,train,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--1.midi,79.70572916666666,1,0.0,79.70572916666666,fast,2
104,Domenico Scarlatti,"Sonata in D Major, K. 118",2014,test,2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_01_R1_2014_wav--1.midi,136.68619791666666,1,0.0,136.68619791666666,fast,2
105,Domenico Scarlatti,"Sonata in D Major, K. 119",2009,train,2009/MIDI-Unprocessed_01_R1_2009_01-04_ORIG_MID--AUDIO_01_R1_2009_01_R1_2009_02_WAV.midi,136.61328125,1,0.0,136.61328125,fast,2
106,Domenico Scarlatti,"Sonata in D Major, K. 145",2014,train,2014/MIDI-UNPROCESSED_19-21_R3_2014_MID--AUDIO_21_R3_2014_wav--2.midi,206.42057291666663,1,0.0,206.42057291666663,fast,2
107,Domenico Scarlatti,"Sonata in D Major, K. 430",2014,train,2014/MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_13_R1_2014_wav--2.midi,171.01171875,1,0.0,171.01171875,medium,1
108,Domenico Scarlatti,"Sonata in D Major, K. 576",2009,train,2009/MIDI-Unprocessed_02_R1_2009_01-02_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_01_WAV.midi,790.40234375,1,0.0,790.40234375,fast,2
109,Domenico Scarlatti,"Sonata in D Major, K. 96 L. 465",2008,test,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--2.midi,138.76692708333331,1,0.0,138.76692708333331,fast,2
110,Domenico Scarlatti,"Sonata in D Major, K96",2018,test,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--3.midi,141.40755208333331,1,0.0,141.40755208333331,fast,2
